task,episode,method,success,chunk,action_start_step,action_end_step,source,semantic_key,action_text,evaluator_score,step_reward,discounted_return,evaluator_result
libero_90_task60,1,jitrl,0,0,0,30,generator,descend|gripper|left_bowl,descend toward the left bowl on the table,-2,-0.6666666666666666,0.5998428788169426,"The robot descended over the incorrect object, positioning its gripper over the right bowl rather than approaching the designated left bowl."
libero_90_task60,1,jitrl,0,1,30,60,memory,align|gripper|target_bowl,align gripper with the target bowl on the table,-2,-0.6666666666666666,1.3331679426143257,"The robot moved away from the target left bowl and grasped an irrelevant chocolate pudding box instead, occupying the gripper with a non-target object and regressing from the task goal."
libero_90_task60,1,jitrl,0,2,60,90,memory,move|black_bowl|left_bowl,move left toward the black bowl on the left,1,0.3333333333333333,2.1050890624010448,"The arm successfully moved leftward from the right side of the table toward the target bowl, aligning closer to the intended position."
libero_90_task60,1,jitrl,0,3,90,120,generator,descend|gripper|black_bowl_left,move down toward the black bowl on the left,-2,-0.6666666666666666,1.8650060305975908,"The robot selected a subtask to move toward the black bowl, but instead moved over the wooden tray while holding an unrelated box, failing to approach the target object."
libero_90_task60,1,jitrl,0,4,120,150,generator,move|gripper|black-bowl-on-the-left,move right toward the black bowl on the left,1,0.3333333333333333,2.6649186286992186,"The robot arm successfully moved right toward the target black bowl on the left, positioning its gripper closer to the object for reaching and grasping."
libero_90_task60,1,jitrl,0,5,150,180,generator,move_right|gripper|black_bowl_left,move right toward the black bowl on the left,2,0.6666666666666666,2.4543003109114583,"The robot successfully moved to the right and positioned its gripper directly over the left bowl, making solid progress toward grasping the target object."
libero_90_task60,1,jitrl,0,6,180,210,generator,grasp|black-bowl|left-bowl,grasp the black bowl on the left,2,0.6666666666666666,1.8817196255208333,"The robot successfully closed its gripper on the rim of the left bowl and lifted it off the surface, advancing the task of transferring it to the wooden tray."
libero_90_task60,1,jitrl,0,7,210,240,generator,lower|object|wooden_crate,lower the object into the wooden crate on the left,1,0.3333333333333333,1.2790031145833332,"The robot successfully lowered the bowl into the wooden crate while maintaining a firm grasp, making clear progress toward placement."
libero_90_task60,1,jitrl,0,8,240,270,generator,place|bowl|left_wooden_crate,place the bowl into the wooden crate on the left,2,0.6666666666666666,0.9954418749999999,"The robot successfully opened its gripper and released the bowl into the wooden crate, leaving it resting stably inside while retracting cleanly."
libero_90_task60,1,jitrl,0,9,270,300,generator,lift|arm|above-crate,lift the arm up to clear the wooden crate,1,0.3333333333333333,0.34607916666666666,"The arm successfully lifted upward away from the wooden crate/tray without disturbing the placed bowl, completing the post-placement retraction step."
libero_90_task60,1,jitrl,0,10,300,330,memory,move|black_bowl|left_bowl,move left toward the black bowl on the left,-1,-0.3333333333333333,0.013416666666666688,"The robot executes a minimal movement that fails to make meaningful progress toward the intended subtask, remaining positioned near the tray rather than moving effectively toward the target object."
libero_90_task60,1,jitrl,0,11,330,360,memory,align|gripper|target_bowl,align gripper with the target bowl on the table,1,0.3333333333333333,0.365,The robot adjusted its gripper position to align directly over the bowl in preparation for descending and grasping it. This is useful progress towards the task objective.
libero_90_task60,1,jitrl,0,12,360,390,generator,descend|gripper|black_bowl,descend to grasp the black bowl on the left,2,0.6666666666666666,0.033333333333333326,"The gripper successfully descends around the rim of the target bowl, positioning itself properly to perform the grasp."
libero_90_task60,1,jitrl,0,13,390,400,memory,grasp|black_bowl|left_bowl,grasp the black bowl on the left,-2,-0.6666666666666666,-0.6666666666666666,"The robot attempted to grasp the bowl on the left, but failed to secure or lift it. The gripper retracted without holding the object, resulting in an ineffective attempt."
libero_90_task60,1,static,1,0,0,30,generator,align|black_bowl|table,position the open gripper above the black bowl,,,0.0,
libero_90_task60,1,static,1,1,30,60,generator,reposition|gripper|black_bowl_left,reposition the open gripper above the black bowl on the left,,,0.0,
libero_90_task60,1,static,1,2,60,90,generator,reposition|gripper|left-bowl,reposition the gripper directly over the left bowl,,,0.0,
libero_90_task60,1,static,1,3,90,119,generator,close|gripper|target_object,close the gripper around the target object,,,0.0,
