task,episode,method,success,chunk,action_start_step,action_end_step,source,semantic_key,action_text,evaluator_score,step_reward,discounted_return,selected_advantage,choice_changed,augmentation_changed_choice,evaluator_result
libero_90_task59,13,jitrl,1,0,0,30,generator,descend|nearby_can|table,descend to reach the nearby can,1,0.3333333333333333,3.9533464162109366,-1.0,1,1,"The robot arm successfully moves from high above the workspace to descend directly over the target tomato sauce container, establishing proper alignment for grasping. This represents clear, meaningful progress in reaching the target object."
libero_90_task59,13,jitrl,1,1,30,60,memory,grasp|tomato_sauce_can|gripper,grasp the tomato sauce can,2,0.6666666666666666,3.8105400872395823,0.05529458698789728,0,1,"The robot successfully descended and closed its gripper around the tomato sauce can, completing the grasp subtask."
libero_90_task59,13,jitrl,1,2,60,90,memory,position|held-can|wooden-tray,position the held can directly above the tray,1,0.3333333333333333,3.3093404427083324,0.171786784403975,0,1,"The robot successfully moves the held can from the right side of the table toward the center, bringing it closer to the target wooden tray on the left. This represents clear intermediate progress in transporting the object toward the target."
libero_90_task59,13,jitrl,1,3,90,120,generator,position|held_can|wooden_tray,position the held can directly over the wooden tray on the left,2,0.6666666666666666,3.132639062499999,-0.9557120521650123,0,0,"The robot successfully transports the held can from the table center to directly above the wooden tray on the left, achieving the intended positioning subtask."
libero_90_task59,13,jitrl,1,4,120,150,generator,place|held_object|tray,place the held object inside the tray on the left,2,0.6666666666666666,2.595760416666666,-1.0,1,1,"The robot successfully released the held can into the wooden tray, completing the placement subtask and freeing the gripper."
libero_90_task59,13,jitrl,1,5,150,180,generator,reach|tomato_sauce|bottle,move toward the tomato sauce bottle,0,0.0,2.0306249999999992,-1.0,1,0,"The robot moved from above the wooden tray to hover over the central can instead of approaching the tomato sauce bottle, positioning over the wrong object. Therefore, this action receives a score of 0."
libero_90_task59,13,jitrl,1,6,180,210,memory,grasp|tomato_sauce|none,grasp the tomato sauce can,0,0.0,2.1374999999999993,0.08332215970678433,1,1,"The robot attempted to grasp a can instead of the target tomato sauce bottle, resulting in a wrong-object action."
libero_90_task59,13,jitrl,1,7,210,240,memory,grasp|tomato-sauce|tabletop,move down to grasp the tomato sauce,2,0.6666666666666666,2.2499999999999996,-0.3702871502196391,1,1,"The robot successfully transported the held object to position it directly above the target wooden tray, making clear progress toward placement."
libero_90_task59,13,jitrl,1,8,240,249,memory,release_object|tomato_sauce|wooden_tray,release the tomato sauce inside the wooden tray,2,1.6666666666666665,1.6666666666666665,0.8404193490385087,1,1,"The robot successfully opens its gripper and releases the tomato sauce can into the wooden tray, leaving it stably placed inside."
libero_90_task59,13,static,0,0,0,30,generator,position|gripper|tomato-sauce-can,position the open gripper above the tomato sauce can,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,1,30,60,generator,descend|gripper|tomato_sauce_can,descend toward the tomato sauce can on the table,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,2,60,90,generator,descend|gripper|tomato_sauce_can,descend toward the tomato sauce can in the middle of the table,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,3,90,120,generator,grasp|central-can|none,close the gripper around the central can,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,4,120,150,generator,lower|tomato-sauce-can|wooden-tray,lower the tomato sauce can toward the bottom of the tray,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,5,150,180,generator,release|tomato_sauce_can|wooden_tray,release the tomato sauce can into the tray,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,6,180,210,generator,move|gripper|table_center,move away from the tray toward the table center,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,7,210,240,generator,approach|arm|tomato_sauce_bottle,move toward the tomato sauce bottle,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,8,240,270,generator,align|gripper|tomato_sauce,position gripper above the tomato sauce bottle,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,9,270,300,generator,move_lower|tomato_sauce|table,move right and lower toward the tomato sauce,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,10,300,330,generator,lower|gripper|tomato_sauce,lower the gripper toward the tomato sauce,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,11,330,360,generator,grasp|object-below|none,grasp the object below the gripper,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,12,360,390,generator,lift_and_move|central_can|left_tray,lift the central can and move toward the left tray,,,0.0,0.0,0,0,
libero_90_task59,13,static,0,13,390,400,generator,lower|held-container|wooden-tray,lower the held container into the tray on the left,,,0.0,0.0,0,0,
