task,episode,method,success,chunk,action_start_step,action_end_step,source,semantic_key,action_text,evaluator_score,step_reward,discounted_return,evaluator_result
libero_90_task79,14,jitrl,0,0,0,30,generator,move_forward|gripper|table_surface,move forward over the caddy toward the table surface,2,0.6666666666666666,3.5316367428920157,"The robot arm successfully moves forward over the caddy, positioning its open gripper directly above the upright book to prepare for grasping."
libero_90_task79,14,jitrl,0,1,30,60,generator,position|upright_object|gripper,position the gripper around the upright object,2,0.6666666666666666,3.015757974974052,"The robot successfully lowers its open gripper around the upright book, aligning the fingers properly for a grasp."
libero_90_task79,14,jitrl,0,2,60,90,generator,grasp|book|gripper,close the gripper around the book,2,0.6666666666666666,2.4727276929551425,The robot successfully closed its gripper around the upright black book and began lifting it toward the target compartment. This represents clear positive progress in the manipulation sequence.
libero_90_task79,14,jitrl,0,3,90,120,generator,lift|central_object|upward,lift the central object,2,0.6666666666666666,1.901116869777343,"The robot successfully lifts the black book out of the caddy compartment, completing the subtask and making clear progress toward placing it in the left compartment."
libero_90_task79,14,jitrl,0,4,120,150,generator,position|book|left_compartment,position the book above the left compartment of the caddy,2,0.6666666666666666,1.299421266432291,"The robot moved the arm holding the book leftward towards the target left compartment of the caddy, making clear progress toward positioning it correctly."
libero_90_task79,14,jitrl,0,5,150,180,generator,shift|held-object|left-compartment,shift the held object left above the target compartment,-1,-0.3333333333333333,0.6660574734374995,"The arm moved slightly to the right instead of left, moving the book further away from the target compartment and regressing task progress."
libero_90_task79,14,jitrl,0,6,180,210,memory,carry|item|left_slot,carry the item leftward into alignment with the left slot,1,0.3333333333333333,1.0519903229166663,"The robot moved the book slightly leftward toward the target left compartment of the caddy, making minor progress toward alignment."
libero_90_task79,14,jitrl,0,7,210,240,generator,align|item|target_compartment,align the item over the target compartment,0,0.0,0.7564810416666663,"The robot attempted to align the book over the target compartment, but there is no discernible visual movement between the before and after states. The book remains held in the gripper above the middle section of the caddy, demonstrating no effective progress toward alignment."
libero_90_task79,14,jitrl,0,8,240,270,memory,release|book|left_section,release the book into the left section of the caddy,-1,-0.3333333333333333,0.796295833333333,"The robot failed to release the book into the left compartment. Visual evidence shows the book remains held by the gripper over the middle section, resulting in no positive progress."
libero_90_task79,14,jitrl,0,9,270,300,generator,move|held_object|left_section,move the held object to the left section,0,0.0,1.189083333333333,"The robot arm holds the book in place above the caddy with no noticeable movement toward the left compartment, showing no progress during this chunk."
libero_90_task79,14,jitrl,0,10,300,330,generator,move|book|left_compartment,carry the book above the left compartment,1,0.3333333333333333,1.2516666666666665,"The robot arm moved the held book slightly leftward, making progress toward positioning it above the target left compartment of the caddy."
libero_90_task79,14,jitrl,0,11,330,360,generator,move_left|held_object|target_slot,move slightly left above the target slot,1,0.3333333333333333,0.9666666666666666,"The robot arm moves the black book leftward, successfully aligning it closer to the target left compartment of the caddy."
libero_90_task79,14,jitrl,0,12,360,390,memory,release|item|caddy,open the gripper to release the item into the caddy,2,0.6666666666666666,0.6666666666666666,"The gripper opens and successfully releases the black book into the caddy compartment. The book is resting stably inside the caddy slot without being held by the gripper, achieving meaningful progress toward the placement goal."
libero_90_task79,14,jitrl,0,13,390,400,generator,grasp|gripper|book,re-grasp the book inside the caddy slot,0,0.0,0.0,"The robot attempts to re-grasp the black book inside the caddy slot, but fails to make functional contact or move the object. No meaningful visual state change is observed between the before and after frames."
libero_90_task79,14,static,1,0,0,30,generator,approach|book|table,move the gripper toward the book on the table,,,0.0,
libero_90_task79,14,static,1,1,30,60,generator,align|gripper|standing_object,position the open fingers around the standing object,,,0.0,
libero_90_task79,14,static,1,2,60,90,generator,grasp|book|gripper,close the gripper around the book,,,0.0,
libero_90_task79,14,static,1,3,90,120,generator,move|held_book|target_section,move upward and left toward the target section,,,0.0,
libero_90_task79,14,static,1,4,120,150,generator,position|held-item|left-compartment,position the held item over the left compartment,,,0.0,
libero_90_task79,14,static,1,5,150,180,generator,place|book|left_compartment,place the book into the left compartment of the caddy,,,0.0,
libero_90_task79,14,static,1,6,180,210,generator,lower|held_book|left_compartment,lower the held book into the left compartment,,,0.0,
libero_90_task79,14,static,1,7,210,240,generator,lower|held-object|left-compartment,lower the held object into the left compartment of the caddy,,,0.0,
libero_90_task79,14,static,1,8,240,270,generator,place|book|left_compartment,lower the book into the left compartment of the caddy,,,0.0,
libero_90_task79,14,static,1,9,270,300,generator,move|held_object|tall_compartment,move slightly left and lower into the tall compartment,,,0.0,
libero_90_task79,14,static,1,10,300,330,generator,lower|held_object|left_compartment,lower the held object into the left compartment,,,0.0,
libero_90_task79,14,static,1,11,330,360,generator,release|held_object|left_compartment,release the held object into the left compartment,,,0.0,
libero_90_task79,14,static,1,12,360,374,generator,raise|gripper|above_partition,raise the gripper to clear the partition,,,0.0,
